timestamp, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
2026/08/03 02:01:36.984, 2542 MHz, 13801 MHz, 73.40 W, 34, 0 %, 2365 MiB
2026/08/03 02:01:41.985, 2542 MHz, 13801 MHz, 70.49 W, 33, 0 %, 2365 MiB
2026/08/03 02:01:46.985, 2542 MHz, 13801 MHz, 72.10 W, 33, 0 %, 2367 MiB
2026/08/03 02:01:51.986, 2550 MHz, 13801 MHz, 72.04 W, 33, 0 %, 2367 MiB
2026/08/03 02:01:56.986, 2542 MHz, 13801 MHz, 70.80 W, 33, 1 %, 2369 MiB
2026/08/03 02:02:01.987, 2550 MHz, 13801 MHz, 69.93 W, 33, 0 %, 2369 MiB
2026/08/03 02:02:06.987, 2902 MHz, 13801 MHz, 107.61 W, 35, 55 %, 2405 MiB
2026/08/03 02:02:11.988, 2895 MHz, 13801 MHz, 106.35 W, 35, 59 %, 2405 MiB
2026/08/03 02:02:16.988, 2895 MHz, 13801 MHz, 107.15 W, 35, 62 %, 2405 MiB
2026/08/03 02:02:21.988, 2895 MHz, 13801 MHz, 106.90 W, 35, 60 %, 2405 MiB
2026/08/03 02:02:26.989, 2895 MHz, 13801 MHz, 105.89 W, 35, 54 %, 2405 MiB
2026/08/03 02:02:31.989, 2895 MHz, 13801 MHz, 107.54 W, 35, 58 %, 2409 MiB
2026/08/03 02:02:36.990, 2895 MHz, 13801 MHz, 106.77 W, 35, 60 %, 2409 MiB
2026/08/03 02:02:41.990, 2895 MHz, 13801 MHz, 105.97 W, 35, 59 %, 2375 MiB
2026/08/03 02:02:46.990, 2895 MHz, 13801 MHz, 106.82 W, 35, 62 %, 2409 MiB
2026/08/03 02:02:51.991, 2895 MHz, 13801 MHz, 107.29 W, 35, 60 %, 2409 MiB
2026/08/03 02:02:56.991, 2895 MHz, 13801 MHz, 100.70 W, 35, 0 %, 2379 MiB
2026/08/03 02:03:01.992, 2542 MHz, 13801 MHz, 73.68 W, 34, 0 %, 2379 MiB
2026/08/03 02:03:06.992, 2542 MHz, 13801 MHz, 73.48 W, 34, 0 %, 2379 MiB
2026/08/03 02:03:11.993, 2542 MHz, 13801 MHz, 71.59 W, 34, 0 %, 2383 MiB
