timestamp,pid,used_gpu_memory_mib
1785625934.247703890,2415327,19
1785625934.247703890,2874859,52
1785625934.247703890,706901,542
1785625934.614848546,2415310,635
1785625934.614848546,2418383,508
1785625934.614848546,2415327,19
1785625934.614848546,2874859,52
1785625934.614848546,706901,542
1785625935.033410635,2415310,635
1785625935.033410635,2418383,508
1785625935.033410635,2415327,19
1785625935.033410635,2874859,52
1785625935.033410635,706901,542
1785625935.397545087,2415310,635
1785625935.397545087,2418383,508
1785625935.397545087,2415327,19
1785625935.397545087,2874859,52
1785625935.397545087,706901,542
1785625935.839570854,2415310,635
1785625935.839570854,2418383,508
1785625935.839570854,2415327,19
1785625935.839570854,2874859,52
1785625935.839570854,706901,544
1785625936.272023391,2415310,635
1785625936.272023391,2418383,508
1785625936.272023391,2415327,19
1785625936.272023391,2874859,52
1785625936.272023391,706901,544
1785625936.631444519,2415310,635
1785625936.631444519,2418383,508
1785625936.631444519,2415327,19
1785625936.631444519,2874859,52
1785625936.631444519,706901,544
1785625937.010304193,2415310,635
1785625937.010304193,2418383,508
1785625937.010304193,2415327,19
1785625937.010304193,2874859,52
1785625937.010304193,706901,544
1785625937.393174636,2415310,635
1785625937.393174636,2418383,508
1785625937.393174636,2415327,19
1785625937.393174636,2874859,52
1785625937.393174636,706901,544
1785625937.393174636,709153,508
1785625937.819247785,2415310,635
1785625937.819247785,2418383,508
1785625937.819247785,2415327,19
1785625937.819247785,2874859,52
1785625937.819247785,706901,544
1785625937.819247785,709153,526
1785625938.267435132,2415310,635
1785625938.267435132,2418383,508
1785625938.267435132,2415327,19
1785625938.267435132,2874859,52
1785625938.267435132,706901,544
1785625938.267435132,709153,526
1785625938.620469600,2415310,635
1785625938.620469600,2418383,508
1785625938.620469600,2415327,19
1785625938.620469600,2874859,52
1785625938.620469600,706901,544
1785625938.620469600,709153,526
1785625939.028686060,2415310,635
1785625939.028686060,2418383,508
1785625939.028686060,2415327,19
1785625939.028686060,2874859,52
1785625939.028686060,706901,544
1785625939.028686060,709153,532
1785625939.436701447,2415310,635
1785625939.436701447,2418383,508
1785625939.436701447,2415327,19
1785625939.436701447,2874859,52
1785625939.436701447,706901,544
1785625939.436701447,709153,534
1785625939.836307755,2415310,635
1785625939.836307755,2418383,508
1785625939.836307755,2415327,19
1785625939.836307755,2874859,52
1785625939.836307755,706901,544
1785625939.836307755,709153,534
1785625940.205125285,2415310,635
1785625940.205125285,2418383,508
1785625940.205125285,2415327,19
1785625940.205125285,2874859,52
1785625940.205125285,706901,544
1785625940.205125285,709153,534
1785625940.669666253,2415310,635
1785625940.669666253,2418383,508
1785625940.669666253,2415327,19
1785625940.669666253,2874859,52
1785625940.669666253,706901,544
1785625940.669666253,709153,534
1785625941.061721601,2415310,635
1785625941.061721601,2418383,508
1785625941.061721601,2415327,19
1785625941.061721601,2874859,52
1785625941.061721601,706901,544
1785625941.061721601,709153,534
1785625941.498749566,2415310,635
1785625941.498749566,2418383,508
1785625941.498749566,2415327,19
1785625941.498749566,2874859,52
1785625941.498749566,706901,544
1785625941.498749566,709153,534
1785625941.917855512,2415310,635
1785625941.917855512,2418383,508
1785625941.917855512,2415327,19
1785625941.917855512,2874859,52
1785625941.917855512,706901,544
1785625941.917855512,709153,534
1785625942.274706256,2415310,635
1785625942.274706256,2418383,508
1785625942.274706256,2415327,19
1785625942.274706256,2874859,52
1785625942.274706256,706901,544
1785625942.274706256,709153,534
1785625942.680437350,2415310,635
1785625942.680437350,2418383,508
1785625942.680437350,2415327,19
1785625942.680437350,2874859,52
1785625942.680437350,706901,544
1785625942.680437350,709153,534
1785625943.112124277,2415310,635
1785625943.112124277,2418383,508
1785625943.112124277,2415327,19
1785625943.112124277,2874859,52
1785625943.112124277,706901,544
1785625943.112124277,709153,542
1785625943.534312066,2415310,635
1785625943.534312066,2418383,508
1785625943.534312066,2415327,19
1785625943.534312066,2874859,52
1785625943.534312066,706901,544
1785625943.534312066,709153,542
1785625943.890702137,2415310,635
1785625943.890702137,2418383,508
1785625943.890702137,2415327,19
1785625943.890702137,2874859,52
1785625943.890702137,706901,544
1785625943.890702137,709153,542
1785625944.269430124,2415310,635
1785625944.269430124,2418383,508
1785625944.269430124,2415327,19
1785625944.269430124,2874859,52
1785625944.269430124,706901,544
1785625944.269430124,709153,542
1785625944.690242285,2415310,635
1785625944.690242285,2418383,508
1785625944.690242285,2415327,19
1785625944.690242285,2874859,52
1785625944.690242285,706901,544
1785625944.690242285,709153,542
1785625945.090356176,2415310,635
1785625945.090356176,2418383,508
1785625945.090356176,2415327,19
1785625945.090356176,2874859,52
1785625945.090356176,706901,544
1785625945.090356176,709153,542
1785625945.465182799,2415310,635
1785625945.465182799,2418383,508
1785625945.465182799,2415327,19
1785625945.465182799,2874859,52
1785625945.465182799,706901,544
1785625945.465182799,709153,542
1785625945.901432073,2415310,635
1785625945.901432073,2418383,508
1785625945.901432073,2415327,19
1785625945.901432073,2874859,52
1785625945.901432073,706901,544
1785625945.901432073,709153,542
1785625946.310009545,2415310,635
1785625946.310009545,2418383,508
1785625946.310009545,2415327,19
1785625946.310009545,2874859,52
1785625946.310009545,706901,544
1785625946.310009545,709153,544
1785625946.724691392,2415310,635
1785625946.724691392,2418383,508
1785625946.724691392,2415327,19
1785625946.724691392,2874859,52
1785625946.724691392,706901,544
1785625946.724691392,709153,544
1785625947.150223036,2415310,635
1785625947.150223036,2418383,508
1785625947.150223036,2415327,19
1785625947.150223036,2874859,52
1785625947.150223036,706901,544
1785625947.150223036,709153,544
1785625947.539063743,2415310,635
1785625947.539063743,2418383,508
1785625947.539063743,2415327,19
1785625947.539063743,2874859,52
1785625947.539063743,706901,544
1785625947.539063743,709153,544
1785625947.945378414,2415310,635
1785625947.945378414,2418383,508
1785625947.945378414,2415327,19
1785625947.945378414,2874859,52
1785625947.945378414,706901,544
1785625947.945378414,709153,544
1785625948.352787880,2415310,635
1785625948.352787880,2418383,508
1785625948.352787880,2415327,19
1785625948.352787880,2874859,52
1785625948.352787880,706901,544
1785625948.352787880,709153,544
1785625948.745380136,2415310,635
1785625948.745380136,2418383,508
1785625948.745380136,2415327,19
1785625948.745380136,2874859,52
1785625948.745380136,706901,544
1785625948.745380136,709153,544
1785625949.081721443,2415310,635
1785625949.081721443,2418383,508
1785625949.081721443,2415327,19
1785625949.081721443,2874859,52
1785625949.081721443,706901,544
1785625949.081721443,709153,544
1785625949.444454148,2415310,635
1785625949.444454148,2418383,508
1785625949.444454148,2415327,19
1785625949.444454148,2874859,52
1785625949.444454148,706901,544
1785625949.444454148,709153,544
1785625949.833376918,2415310,635
1785625949.833376918,2418383,508
1785625949.833376918,2415327,19
1785625949.833376918,2874859,52
1785625949.833376918,706901,544
1785625949.833376918,709153,544
1785625950.198719586,2415310,635
1785625950.198719586,2418383,508
1785625950.198719586,2415327,19
1785625950.198719586,2874859,52
1785625950.198719586,706901,544
1785625950.198719586,709153,544
1785625950.603814744,2415310,635
1785625950.603814744,2418383,508
1785625950.603814744,2415327,19
1785625950.603814744,2874859,52
1785625950.603814744,706901,544
1785625950.603814744,709153,546
1785625951.038426827,2415310,635
1785625951.038426827,2418383,508
1785625951.038426827,2415327,19
1785625951.038426827,2874859,52
1785625951.038426827,706901,544
1785625951.038426827,709153,546
1785625951.455511636,2415310,635
1785625951.455511636,2418383,508
1785625951.455511636,2415327,19
1785625951.455511636,2874859,52
1785625951.455511636,706901,544
1785625951.455511636,709153,546
1785625951.925143175,2415310,635
1785625951.925143175,2418383,508
1785625951.925143175,2415327,19
1785625951.925143175,2874859,52
1785625951.925143175,706901,544
1785625951.925143175,709153,546
1785625952.287447887,2415310,635
1785625952.287447887,2418383,508
1785625952.287447887,2415327,19
1785625952.287447887,2874859,52
1785625952.287447887,706901,544
1785625952.287447887,709153,548
1785625952.668947199,2415310,635
1785625952.668947199,2418383,508
1785625952.668947199,2415327,19
1785625952.668947199,2874859,52
1785625952.668947199,706901,544
1785625952.668947199,709153,548
1785625953.087289638,2415310,635
1785625953.087289638,2418383,508
1785625953.087289638,2415327,19
1785625953.087289638,2874859,52
1785625953.087289638,706901,544
1785625953.087289638,709153,548
1785625953.481056839,2415310,635
1785625953.481056839,2418383,508
1785625953.481056839,2415327,19
1785625953.481056839,2874859,52
1785625953.481056839,706901,544
1785625953.481056839,709153,548
1785625953.876554311,2415310,635
1785625953.876554311,2418383,508
1785625953.876554311,2415327,19
1785625953.876554311,2874859,52
1785625953.876554311,706901,544
1785625953.876554311,709153,548
1785625954.289486559,2415310,635
1785625954.289486559,2418383,508
1785625954.289486559,2415327,19
1785625954.289486559,2874859,52
1785625954.289486559,706901,544
1785625954.289486559,709153,548
1785625954.710439151,2415310,635
1785625954.710439151,2418383,508
1785625954.710439151,2415327,19
1785625954.710439151,2874859,52
1785625954.710439151,706901,544
1785625954.710439151,709153,546
1785625955.109202141,2415310,635
1785625955.109202141,2418383,508
1785625955.109202141,2415327,19
1785625955.109202141,2874859,52
1785625955.109202141,706901,544
1785625955.109202141,709153,546
1785625955.515411444,2415310,635
1785625955.515411444,2418383,508
1785625955.515411444,2415327,19
1785625955.515411444,2874859,52
1785625955.515411444,706901,544
1785625955.515411444,709153,546
1785625955.921246333,2415310,635
1785625955.921246333,2418383,508
1785625955.921246333,2415327,19
1785625955.921246333,2874859,52
1785625955.921246333,706901,544
1785625955.921246333,709153,546
1785625956.330513622,2415310,635
1785625956.330513622,2418383,508
1785625956.330513622,2415327,19
1785625956.330513622,2874859,52
1785625956.330513622,706901,544
1785625956.330513622,709153,546
1785625956.686367768,2415310,635
1785625956.686367768,2418383,508
1785625956.686367768,2415327,19
1785625956.686367768,2874859,52
1785625956.686367768,706901,544
1785625956.686367768,709153,546
1785625957.074025236,2415310,635
1785625957.074025236,2418383,508
1785625957.074025236,2415327,19
1785625957.074025236,2874859,52
1785625957.074025236,706901,544
1785625957.074025236,709153,546
1785625957.479831042,2415310,635
1785625957.479831042,2418383,508
1785625957.479831042,2415327,19
1785625957.479831042,2874859,52
1785625957.479831042,706901,544
1785625957.479831042,709153,546
1785625957.877685026,2415310,635
1785625957.877685026,2418383,508
1785625957.877685026,2415327,19
1785625957.877685026,2874859,52
1785625957.877685026,706901,544
1785625957.877685026,709153,546
1785625958.263306664,2415310,635
1785625958.263306664,2418383,508
1785625958.263306664,2415327,19
1785625958.263306664,2874859,52
1785625958.263306664,706901,544
1785625958.263306664,709153,546
1785625958.652348724,2415310,635
1785625958.652348724,2418383,508
1785625958.652348724,2415327,19
1785625958.652348724,2874859,52
1785625958.652348724,706901,544
1785625958.652348724,709153,546
1785625959.015243122,2415310,635
1785625959.015243122,2418383,508
1785625959.015243122,2415327,19
1785625959.015243122,2874859,52
1785625959.015243122,706901,544
1785625959.015243122,709153,546
1785625959.427731071,2415310,635
1785625959.427731071,2418383,508
1785625959.427731071,2415327,19
1785625959.427731071,2874859,52
1785625959.427731071,706901,544
1785625959.427731071,709153,546
1785625959.837471301,2415310,635
1785625959.837471301,2418383,508
1785625959.837471301,2415327,19
1785625959.837471301,2874859,52
1785625959.837471301,706901,544
1785625959.837471301,709153,546
1785625960.257380114,2415310,635
1785625960.257380114,2418383,508
1785625960.257380114,2415327,19
1785625960.257380114,2874859,52
1785625960.257380114,706901,544
1785625960.257380114,709153,546
1785625960.639417595,2415310,635
1785625960.639417595,2418383,508
1785625960.639417595,2415327,19
1785625960.639417595,2874859,52
1785625960.639417595,706901,544
1785625960.639417595,709153,546
1785625961.094452705,2415310,635
1785625961.094452705,2418383,508
1785625961.094452705,2415327,19
1785625961.094452705,2874859,52
1785625961.094452705,706901,544
1785625961.094452705,709153,546
1785625961.501631465,2415310,635
1785625961.501631465,2418383,508
1785625961.501631465,2415327,19
1785625961.501631465,2874859,52
1785625961.501631465,706901,544
1785625961.501631465,709153,546
1785625961.899432740,2415310,635
1785625961.899432740,2418383,508
1785625961.899432740,2415327,19
1785625961.899432740,2874859,52
1785625961.899432740,706901,544
1785625961.899432740,709153,546
1785625962.326723759,2415310,635
1785625962.326723759,2418383,508
1785625962.326723759,2415327,19
1785625962.326723759,2874859,52
1785625962.326723759,706901,544
1785625962.326723759,709153,546
1785625962.709019989,2415310,635
1785625962.709019989,2418383,508
1785625962.709019989,2415327,19
1785625962.709019989,2874859,52
1785625962.709019989,706901,544
1785625962.709019989,709153,546
1785625963.113373262,2415310,635
1785625963.113373262,2418383,508
1785625963.113373262,2415327,19
1785625963.113373262,2874859,52
1785625963.113373262,706901,544
1785625963.113373262,709153,546
1785625963.518051483,2415310,635
1785625963.518051483,2418383,508
1785625963.518051483,2415327,19
1785625963.518051483,2874859,52
1785625963.518051483,706901,544
1785625963.518051483,709153,546
1785625963.928401228,2415310,635
1785625963.928401228,2418383,508
1785625963.928401228,2415327,19
1785625963.928401228,2874859,52
1785625963.928401228,706901,544
1785625963.928401228,709153,546
1785625964.327332742,2415310,635
1785625964.327332742,2418383,508
1785625964.327332742,2415327,19
1785625964.327332742,2874859,52
1785625964.327332742,706901,544
1785625964.327332742,709153,546
1785625964.750693434,2415310,635
1785625964.750693434,2418383,508
1785625964.750693434,2415327,19
1785625964.750693434,2874859,52
1785625964.750693434,706901,544
1785625964.750693434,709153,546
1785625965.140389056,2415310,635
1785625965.140389056,2418383,508
1785625965.140389056,2415327,19
1785625965.140389056,2874859,52
1785625965.140389056,706901,544
1785625965.140389056,709153,546
1785625965.570061935,2415310,635
1785625965.570061935,2418383,508
1785625965.570061935,2415327,19
1785625965.570061935,2874859,52
1785625965.570061935,706901,544
1785625965.570061935,709153,546
1785625965.946291596,2415310,635
1785625965.946291596,2418383,508
1785625965.946291596,2415327,19
1785625965.946291596,2874859,52
1785625965.946291596,706901,544
1785625965.946291596,709153,546
1785625966.336022671,2415310,635
1785625966.336022671,2418383,508
1785625966.336022671,2415327,19
1785625966.336022671,2874859,52
1785625966.336022671,706901,544
1785625966.336022671,709153,546
1785625966.751415286,2415310,635
1785625966.751415286,2418383,508
1785625966.751415286,2415327,19
1785625966.751415286,2874859,52
1785625966.751415286,706901,544
1785625966.751415286,709153,546
1785625967.193291588,2415310,635
1785625967.193291588,2418383,508
1785625967.193291588,2415327,19
1785625967.193291588,2874859,52
1785625967.193291588,706901,544
1785625967.193291588,709153,546
1785625967.566008630,2415310,635
1785625967.566008630,2418383,508
1785625967.566008630,2415327,19
1785625967.566008630,2874859,52
1785625967.566008630,706901,544
1785625967.566008630,709153,546
1785625967.979412356,2415310,635
1785625967.979412356,2418383,508
1785625967.979412356,2415327,19
1785625967.979412356,2874859,52
1785625967.979412356,706901,544
1785625967.979412356,709153,546
1785625968.418188718,2415310,635
1785625968.418188718,2418383,508
1785625968.418188718,2415327,19
1785625968.418188718,2874859,52
1785625968.418188718,706901,544
1785625968.418188718,709153,546
1785625968.804155075,2415310,635
1785625968.804155075,2418383,508
1785625968.804155075,2415327,19
1785625968.804155075,2874859,52
1785625968.804155075,706901,544
1785625968.804155075,709153,546
1785625969.206628362,2415310,635
1785625969.206628362,2418383,508
1785625969.206628362,2415327,19
1785625969.206628362,2874859,52
1785625969.206628362,706901,544
1785625969.206628362,709153,546
1785625969.598548807,2415310,635
1785625969.598548807,2418383,508
1785625969.598548807,2415327,19
1785625969.598548807,2874859,52
1785625969.598548807,706901,544
1785625969.598548807,709153,546
1785625970.029919479,2415310,635
1785625970.029919479,2418383,508
1785625970.029919479,2415327,19
1785625970.029919479,2874859,52
1785625970.029919479,706901,544
1785625970.029919479,709153,564
1785625970.390459838,2415310,635
1785625970.390459838,2418383,508
1785625970.390459838,2415327,19
1785625970.390459838,2874859,52
1785625970.390459838,706901,544
1785625970.390459838,709153,546
1785625970.800626739,2415310,635
1785625970.800626739,2418383,508
1785625970.800626739,2415327,19
1785625970.800626739,2874859,52
1785625970.800626739,706901,544
1785625970.800626739,709153,906
1785625971.196315970,2415310,635
1785625971.196315970,2418383,508
1785625971.196315970,2415327,19
1785625971.196315970,2874859,52
1785625971.196315970,706901,544
1785625971.196315970,709153,906
1785625971.612449158,2415310,635
1785625971.612449158,2418383,508
1785625971.612449158,2415327,19
1785625971.612449158,2874859,52
1785625971.612449158,706901,544
1785625971.612449158,709153,906
1785625972.021284688,2415310,635
1785625972.021284688,2418383,508
1785625972.021284688,2415327,19
1785625972.021284688,2874859,52
1785625972.021284688,706901,544
1785625972.021284688,709153,906
1785625972.416681559,2415310,635
1785625972.416681559,2418383,508
1785625972.416681559,2415327,19
1785625972.416681559,2874859,52
1785625972.416681559,706901,544
1785625972.416681559,709153,906
1785625972.840657295,2415310,635
1785625972.840657295,2418383,508
1785625972.840657295,2415327,19
1785625972.840657295,2874859,52
1785625972.840657295,706901,544
1785625972.840657295,709153,906
1785625973.321912265,2415310,635
1785625973.321912265,2418383,508
1785625973.321912265,2415327,19
1785625973.321912265,2874859,52
1785625973.321912265,706901,544
1785625973.321912265,709153,906
1785625973.798625848,2415310,635
1785625973.798625848,2418383,508
1785625973.798625848,2415327,19
1785625973.798625848,2874859,52
1785625973.798625848,706901,544
1785625973.798625848,709153,906
1785625974.221853751,2415310,635
1785625974.221853751,2418383,508
1785625974.221853751,2415327,19
1785625974.221853751,2874859,52
1785625974.221853751,706901,544
1785625974.221853751,709153,906
1785625974.628258417,2415310,635
1785625974.628258417,2418383,508
1785625974.628258417,2415327,19
1785625974.628258417,2874859,52
1785625974.628258417,706901,544
1785625974.628258417,709153,906
1785625975.007819796,2415310,635
1785625975.007819796,2418383,508
1785625975.007819796,2415327,19
1785625975.007819796,2874859,52
1785625975.007819796,706901,544
1785625975.007819796,709153,906
1785625975.418290193,2415310,635
1785625975.418290193,2418383,508
1785625975.418290193,2415327,19
1785625975.418290193,2874859,52
1785625975.418290193,706901,544
1785625975.418290193,709153,906
1785625975.811669822,2415310,635
1785625975.811669822,2418383,508
1785625975.811669822,2415327,19
1785625975.811669822,2874859,52
1785625975.811669822,706901,544
1785625975.811669822,709153,906
1785625976.230481276,2415310,635
1785625976.230481276,2418383,508
1785625976.230481276,2415327,19
1785625976.230481276,2874859,52
1785625976.230481276,706901,544
1785625976.230481276,709153,930
1785625976.646776718,2415310,635
1785625976.646776718,2418383,508
1785625976.646776718,2415327,19
1785625976.646776718,2874859,52
1785625976.646776718,706901,544
1785625976.646776718,709153,930
1785625977.066827175,2415310,635
1785625977.066827175,2418383,508
1785625977.066827175,2415327,19
1785625977.066827175,2874859,52
1785625977.066827175,706901,544
1785625977.066827175,709153,930
1785625977.469467804,2415310,635
1785625977.469467804,2418383,508
1785625977.469467804,2415327,19
1785625977.469467804,2874859,52
1785625977.469467804,706901,544
1785625977.469467804,709153,930
1785625977.907964635,2415310,635
1785625977.907964635,2418383,508
1785625977.907964635,2415327,19
1785625977.907964635,2874859,52
1785625977.907964635,706901,544
1785625977.907964635,709153,930
1785625978.326366274,2415310,635
1785625978.326366274,2418383,508
1785625978.326366274,2415327,19
1785625978.326366274,2874859,52
1785625978.326366274,706901,544
1785625978.326366274,709153,930
1785625978.729781537,2415310,635
1785625978.729781537,2418383,508
1785625978.729781537,2415327,19
1785625978.729781537,2874859,52
1785625978.729781537,706901,544
1785625978.729781537,709153,930
1785625979.102910147,2415310,635
1785625979.102910147,2418383,508
1785625979.102910147,2415327,19
1785625979.102910147,2874859,52
1785625979.102910147,706901,544
1785625979.102910147,709153,930
1785625979.495842774,2415310,635
1785625979.495842774,2418383,508
1785625979.495842774,2415327,19
1785625979.495842774,2874859,52
1785625979.495842774,706901,544
1785625979.495842774,709153,930
1785625979.913552462,2415310,635
1785625979.913552462,2418383,508
1785625979.913552462,2415327,19
1785625979.913552462,2874859,52
1785625979.913552462,706901,544
1785625979.913552462,709153,930
1785625980.350178592,2415310,635
1785625980.350178592,2418383,508
1785625980.350178592,2415327,19
1785625980.350178592,2874859,52
1785625980.350178592,706901,544
1785625980.350178592,709153,930
1785625980.766621123,2415310,635
1785625980.766621123,2418383,508
1785625980.766621123,2415327,19
1785625980.766621123,2874859,52
1785625980.766621123,706901,544
1785625980.766621123,709153,930
1785625981.186509586,2415310,635
1785625981.186509586,2418383,508
1785625981.186509586,2415327,19
1785625981.186509586,2874859,52
1785625981.186509586,706901,544
1785625981.186509586,709153,930
1785625981.585345215,2415310,635
1785625981.585345215,2418383,508
1785625981.585345215,2415327,19
1785625981.585345215,2874859,52
1785625981.585345215,706901,544
1785625981.585345215,709153,930
1785625981.983102153,2415310,635
1785625981.983102153,2418383,508
1785625981.983102153,2415327,19
1785625981.983102153,2874859,52
1785625981.983102153,706901,544
1785625981.983102153,709153,930
1785625982.401303660,2415310,635
1785625982.401303660,2418383,508
1785625982.401303660,2415327,19
1785625982.401303660,2874859,52
1785625982.401303660,706901,544
1785625982.401303660,709153,930
1785625982.779133016,2415310,635
1785625982.779133016,2418383,508
1785625982.779133016,2415327,19
1785625982.779133016,2874859,52
1785625982.779133016,706901,544
1785625982.779133016,709153,930
1785625983.193080509,2415310,635
1785625983.193080509,2418383,508
1785625983.193080509,2415327,19
1785625983.193080509,2874859,52
1785625983.193080509,706901,544
1785625983.193080509,709153,930
1785625983.585494016,2415310,635
1785625983.585494016,2418383,508
1785625983.585494016,2415327,19
1785625983.585494016,2874859,52
1785625983.585494016,706901,544
1785625983.585494016,709153,930
1785625984.033722275,2415310,635
1785625984.033722275,2418383,508
1785625984.033722275,2415327,19
1785625984.033722275,2874859,52
1785625984.033722275,706901,544
1785625984.033722275,709153,930
1785625984.457508346,2415310,635
1785625984.457508346,2418383,508
1785625984.457508346,2415327,19
1785625984.457508346,2874859,52
1785625984.457508346,706901,544
1785625984.457508346,709153,930
1785625984.871780858,2415310,635
1785625984.871780858,2418383,508
1785625984.871780858,2415327,19
1785625984.871780858,2874859,52
1785625984.871780858,706901,544
1785625984.871780858,709153,930
1785625985.276051697,2415310,635
1785625985.276051697,2418383,508
1785625985.276051697,2415327,19
1785625985.276051697,2874859,52
1785625985.276051697,706901,544
1785625985.276051697,709153,930
1785625985.635473816,2415310,635
1785625985.635473816,2418383,508
1785625985.635473816,2415327,19
1785625985.635473816,2874859,52
1785625985.635473816,706901,544
1785625985.635473816,709153,930
1785625986.032875921,2415310,635
1785625986.032875921,2418383,508
1785625986.032875921,2415327,19
1785625986.032875921,2874859,52
1785625986.032875921,706901,544
1785625986.032875921,709153,930
1785625986.431419421,2415310,635
1785625986.431419421,2418383,508
1785625986.431419421,2415327,19
1785625986.431419421,2874859,52
1785625986.431419421,706901,544
1785625986.431419421,709153,930
1785625986.851435285,2415310,635
1785625986.851435285,2418383,508
1785625986.851435285,2415327,19
1785625986.851435285,2874859,52
1785625986.851435285,706901,544
1785625986.851435285,709153,930
1785625987.243110903,2415310,635
1785625987.243110903,2418383,508
1785625987.243110903,2415327,19
1785625987.243110903,2874859,52
1785625987.243110903,706901,544
1785625987.243110903,709153,930
1785625987.603391212,2415310,635
1785625987.603391212,2418383,508
1785625987.603391212,2415327,19
1785625987.603391212,2874859,52
1785625987.603391212,706901,544
1785625987.603391212,709153,930
1785625988.009015155,2415310,635
1785625988.009015155,2418383,508
1785625988.009015155,2415327,19
1785625988.009015155,2874859,52
1785625988.009015155,706901,544
1785625988.009015155,709153,930
1785625988.383828427,2415310,635
1785625988.383828427,2418383,508
1785625988.383828427,2415327,19
1785625988.383828427,2874859,52
1785625988.383828427,706901,544
1785625988.383828427,709153,930
1785625988.813921178,2415310,635
1785625988.813921178,2418383,508
1785625988.813921178,2415327,19
1785625988.813921178,2874859,52
1785625988.813921178,706901,544
1785625988.813921178,709153,930
1785625989.245989397,2415310,635
1785625989.245989397,2418383,508
1785625989.245989397,2415327,19
1785625989.245989397,2874859,52
1785625989.245989397,706901,544
1785625989.245989397,709153,930
1785625989.653749551,2415310,635
1785625989.653749551,2418383,508
1785625989.653749551,2415327,19
1785625989.653749551,2874859,52
1785625989.653749551,706901,544
1785625989.653749551,709153,930
1785625990.061092207,2415310,635
1785625990.061092207,2418383,508
1785625990.061092207,2415327,19
1785625990.061092207,2874859,52
1785625990.061092207,706901,544
1785625990.061092207,709153,930
1785625990.470259966,2415310,635
1785625990.470259966,2418383,508
1785625990.470259966,2415327,19
1785625990.470259966,2874859,52
1785625990.470259966,706901,544
1785625990.470259966,709153,930
1785625990.873675469,2415310,635
1785625990.873675469,2418383,508
1785625990.873675469,2415327,19
1785625990.873675469,2874859,52
1785625990.873675469,706901,544
1785625990.873675469,709153,930
1785625991.315020753,2415310,635
